Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
pacman-system1,nl.tudelft.jpacman.sprite,Sprite,0,0,4,0,34,4,3,0,-1.0,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\sprite\Sprite.java
pacman-system1,nl.tudelft.jpacman.sprite,SpriteStore,1,0,4,3,63,7,1,0,0.5,1,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\sprite\SpriteStore.java
pacman-system1,nl.tudelft.jpacman.sprite,SpriteTest,3,0,9,9,71,9,0,0,0.0,0,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\sprite\SpriteTest.java
pacman-system1,nl.tudelft.jpacman.ui,Action,0,0,1,0,10,1,0,0,-1.0,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\Action.java
pacman-system1,nl.tudelft.jpacman.ui,BoardPanel,4,0,4,1,76,7,0,0,0.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\BoardPanel.java
pacman-system1,nl.tudelft.jpacman.ui,ButtonPanel,1,0,1,0,29,2,0,0,0.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\ButtonPanel.java
pacman-system1,nl.tudelft.jpacman.ui,PacKeyListener,1,0,4,3,29,5,0,0,0.75,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\PacKeyListener.java
pacman-system1,nl.tudelft.jpacman.ui,PacManUI,4,0,3,2,65,4,0,0,0.6666666666666666,1,4,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\PacManUI.java
pacman-system1,nl.tudelft.jpacman.ui,PacManUiBuilder,6,0,8,6,111,9,0,0,0.0,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\PacManUiBuilder.java
pacman-system1,nl.tudelft.jpacman.ui,ScorePanel,4,1,4,2,73,8,0,0,0.5,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\ScorePanel.java
pacman-system1,nl.tudelft.jpacman.ui,ScoreFormatter,0,0,1,0,11,1,0,0,-1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\ScorePanel.java
pacman-system1,nl.tudelft.jpacman.e2e.framework.startup,StartupSteps,1,0,5,4,35,5,0,0,0.0,0,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\e2e\framework\startup\StartupSteps.java
pacman-system1,nl.tudelft.jpacman.e2e.framework.startup,StartupTest,0,0,0,0,6,0,0,0,-1.0,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\e2e\framework\startup\StartupTest.java
pacman-system1,nl.tudelft.jpacman.integration,StartupSystemTest,1,0,4,3,29,4,0,0,0.0,0,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\integration\StartupSystemTest.java
